Judul,Jenis,Urgensi,Polda,Tanggal,Isi
Kapolres Ogan Ilir Sambut Kunker Kapolda Pada Penanaman Jagung Serentak 1 Juta Hektar Ketahanan Pangan.,intelijen,sedang,"OKI,SUMSEL","22/1/2025, 15.07.32",https://sumsel.tribunnews.com/2025/01/21/kapolres-oi-sambut-kunker-kapolda-pada-penanaman-jagung-serentak-1-juta-hektar-ketahanan-pangan.
Korban Tewas Kebakaran Glodok Plaza Bertambah Jadi 9 Orang ,intelijen,sedang,JAKARTA BARAT,"22/1/2025, 02.19.05","Petugas kembali menemukan satu jenazah di reruntuhan Glodok Plaza, Jakarta Barat, hari ini. Total korban tewas yang telah ditemukan berjumlah sembilan orang.
""Iya betul (satu jenazah ditemukan). Pukul 13.51 WIB,"" kata Kepala Pusat Data dan Informasi Badan Penanggulangan Bencana Daerah (Kapusdatin BPBD) Jakarta Mohamad Yohan saat dimintai konfirmasi, Selasa (21/1/2025).

Jenazah sudah dievakuasi ke RS Polri untuk diproses lebih lanjut. Dia belum menjelaskan jenazah ditemukan di lantai berapa.

Kebakaran di Glodok Plaza terjadi pada Rabu (15/1) malam. Api membakar sejumlah lantai di Glodok Plaza dan baru dapat dipadamkan pada Kamis (16/1)."
"Katering di Jaktim Terbakar, 35 Personel Damkar Diterjunkan ke Lokasi  ",intelijen,sedang,JAKARTA TIMUR,"22/1/2025, 02.06.38","Tempat katering di kawasan Cipayung, Jakarta Timur (Jaktim), terbakar. Sebanyak 17 unit mobil dan 35 personel pemadam kebakaran (damkar) diterjunkan ke lokasi kejadian.
Menurut data Dinas Pemadam Kebakaran dan Penyelamatan (Gulkarmat) DKI Jakarta, kebakaran dilaporkan pada Selasa (21/1/2025) pukul 17.32 WIB. Lokasi kebakaran ada di Jalan Kramat Aris, Setu, Cipayung, Jakarta Timur.

""Objek Catering Chikal. Jenis bangunan rendah,"" tulis Damkar Jakarta dalam keterangannya."
"Ketua KPU Ogan Ilir, Masjidah Dicopot DKPP, Rekrut PPK dan PPS Terafiliasi Parpol",intelijen,sedang,"Ogan Ilir, Sumsel","21/1/2025, 15.27.09",https://sumsel.tribunnews.com/2025/01/20/breaking-news-ketua-kpu-ogan-ilir-masjidah-dicopot-dkpp-rekrut-ppk-dan-pps-terafiliasi-parpol?utm_source=headline-1.
laporan situasi Ipoleksosbudkam wilayah hukum Polda Sumbar,intelijen,sedang,PASAMAN BARAT,"21/1/2025, 14.54.09","Pada hari Selasa tanggal 14 Januari 2025, Pemerintah Kabupaten Pasaman Barat bersama Tim Pengendalian Inflasi Daerah (TPID) mengikuti Rapat Koordinasi (Rakor) Pengendalian Inflasi secara virtual bersama Kementerian Dalam Negeri RI. Rapat berlangsung di Ruang Balkon Kantor Bupati dan dibuka oleh PIt. Sekretaris Jenderal Kemendagri, Komjen Pol. Drs. Tomsi Tohir, M.Si. Deputi Bidang Statistik Distribusi dan Jasa, Dr. Pudji Ismartini, M.App.Stat. menyampaikan laporan terkait Tinjauan Inflasi dan Indeks Perkembangan Harga (IPH) Minggu ke-2 Januari 2025. la menjelaskan, pada periode tersebut terdapat 36 provinsi yang mengalami kenaikan IPH, sementara dua provinsi lainnya mengalami penurunan dibandingkan bulan sebelumnya. Komoditas utama yang berkontribusi terhadap kenaikan IPH di sebagian besar provinsi adalah cabai rawit, cabai merah, dan daging ayam ras. Secara nasional, jumlah kabupaten/kota yang mencatatkan kenaikan IPH pada Minggu ke-2 Januari 2025 lebih banyak dibandingkan daerah yang mengalami penurunan. Rata-rata harga cabai merah secara nasional berada dalam rentang Harga Acuan Penjualan (HAP), namun mengalami kenaikan sebesar 34,55% dibandingkan Desember 2024. Sementara itu, harga cabai rawit yang berada di atas HAP naik hingga 42,00%. Harga telur ayam ras juga meningkat sebesar 3,41%, sedangkan harga Minyakita berada di atas Harga Eceran Tertinggi (HET) dengan kenaikan 0,85. Staf Ahli Bidang Manajemen dan Tata Kelola Kementerian Perdagangan, Iqbal Shoffan Shofwan, M.Si., memaparkan perkembangan harga rata-rata minyak goreng nasional. Pada Minggu pertama Januari 2025, harga minyak premium naik 1,67% menjadi Rp22.010/liter, minyak curah naik 1,87% menjadi Rp17.720/ liter, dan Minyakita naik 1,41% menjadi Rp17.342/liter. Kementerian Perdagangan menghimbau dinas terkait agar menyosialisasikan HET Minyakita sebesar Rp15.700/liter. Pedagang juga diminta memasang spanduk informasi harga HET di toko mereka. Pelanggaran HET ini akan dikenakan sanksi pidana dan denda."
Pengemudi Mobil Berpelat Dinas Ugal-ugalan di Jakbar Sempat Diamuk Massa  ,intelijen,sedang,JAKARTA BARAT,"21/1/2025, 06.38.21","Mobil berpelat dinas diviralkan ugal-ugalan hingga menabrak pejalan kaki dan berakhir adu banteng di Palmerah, Jakarta Barat. Pengemudi mobil tersebut, MSK (24), sempat diamuk massa.
""Untuk pengemudi itu luka-luka juga, digebukin massa,"" kata Kanit Gakkum Satlantas Polres Metro Jakarta Barat, AKP Joko Siswanto, saat dihubungi wartawan, Senin (20/1/2025).

Joko mengatakan saat ini sopir MSK masih dirawat di RSUD Cengkareng. Pihaknya akan meminta keterangan kepada pengemudi MSK setelah kondisinya membaik."
Kapolresta Bogor Pastikan Anak Pengacara Pembunuh Satpam Tak Diistimewakan,intelijen,sedang,Kota Bogor,"21/1/2025, 06.30.57","Kapolresta Bogor Kota Kombes Eko Prasetyo memastikan tidak ada perlakuan khusus kepada Abraham Michael Mangaraja Gandatua (26), tersangka kasus pembunuhan petugas satpam Septian (37). Eko mengatakan Abraham akan diperlakukan sebagaimana tahanan lainnya.
""Tidak ada, tidak ada perilaku istimewa (terhadap Tersangka Abraham), tidak ada,"" kata Eko ketika menggelar jumpa pers pengungkapan kasus majikan bunuh satpam di Mapolresta Bogor Kota, Jawa Barat, Senin (20/1/2025).

Sebelumnya, Kombes Eko menegaskan pihaknya tidak akan memberi ruang terhadap pelaku tindak kejahatan di Kota Bogor. Kombes Eko juga menyatakan tidak akan pandang bulu dalam menegakkan hukum.

""Pada intinya jajaran Polresta Bogor Kota tidak ada ruang bagi pelaku, bagi semua tindak pidana kekerasan dan lainnya di Kota Bogor, semua akan kami tindak tegas dan tidak pandang bulu,"" tegasnya.

Abraham sendiri saat ini telah ditetapkan sebagai tersangka dalam kasus pembunuhan itu. Dia dijerat dengan pasal pembunuhan berencana dengan ancaman hukuman mati."
"Tindaklanjuti Keluhan Warga Terkait Aksi Maling Bertopeng, Kapolsek Indralaya akan Tingkatkan Patroli",kejadian,sedang,"Ogan Ilir, Sumsel","20/1/2025, 16.05.20",https://sumeks.disway.id/read/740465/tindaklanjuti-keluhan-warga-terkait-aksi-maling-bertopeng-kapolsek-indralaya-akan-tingkatkan-patroli
Situasi kamtibmas dan rencana kegiatan masyarakat Pada hari  Senin  tanggal 23 Oktober 2023 di wilayah,intelijen,sedang,,"20/1/2025, 15.16.08",Situasi kamtibmas dan rencana kegiatan masyarakat Pada hari  Senin  tanggal 23 Oktober 2023 di wilayah
Subdit Jatanras PMJ Tangkap Maling Bobol Rumah saat Siang Bolong di Jaksel,intelijen,sedang,JAKARTA SELATAN,"19/1/2025, 14.19.09","Polisi menangkap sindikat maling di siang bolong di Jakarta Selatan (Jaksel) yang sempat viral di media sosial. Polisi menyampaikan ada lebih dari 20 rumah yang menjadi korban kelompok maling itu.
""Sudah kita tangkap, pelakunya sindikat pencurian modus rumah kosong. Ada lebih dari 20 TKP,"" kata Kasubdit Jatanras Ditreskrimum Polda Metro Jaya AKBP Abdul Rahim, Sabtu (18/1/2024).

Penangkapan dilakukan pada Jumat 17 Januari 2025 di Jakarta Timur. ""Pelaku dan penadahnya sudah kita tangkap,"" ujarnya.

Sebelumnya, pencurian terjadi di sebuah rumah daerah Jagakarsa, Jakarta Selatan. Pelaku menggasak sejumlah barang berharga hingga mobil milik pemilik rumah

Peristiwa itu terjadi pada Jumat (10/1) pukul 13.39 WIB. Perbuatan pelaku terekam kamera CCTV di lokasi dan viral di media sosial."
Polisi Bongkar Pabrik Narkoba Bibit Tembakau Sintetis di Depok,intelijen,sedang,KOTA DEPOK,"19/1/2025, 14.04.22","Polisi membongkar pabrik narkoba jenis tembakau sintetis atau sinte di Depok Jawa Barat (Jabar). Empat orang diamankan dan diduga terlibat dalam pabrik pembuatan bibit tembakau sinte tersebut.
Dalam video yang diterima detikcom, polisi menggeledah sebuah rumah yang menjadi pabrik bibit sinte. Salah seorang pelaku diminta untuk menjelaskan soal barang bukti yang ditemukan polisi.

Polisi menemukan sebuah bungkusan besar aluminium. Pelaku menyebut bahwa isi bungkusan tersebut adalah bibit sinte.

Kapolsek Metro Tanah Abang, AKBP Aditya S.P. Sembiring, mengatakan empat orang yang diamankan pada Sabtu (18/1/2025), adalah Laki-laki berinisial TR (27), dan FJ (23), serta perempuan berinisial DY (26), dan MS (30). Lokasi pabrik narkoba berada di Jalan Majelis Kalimulya Depok RT.02 RW.03 Kelurahan Kali Mulya, Kecamatan Cilodong, Depok.
Awalnya anggota Subnit 5 Reskrim Polsektro Tanah Abang mendapat informasi penyalahgunaan tembakau sinte. Polisi pun mengamankan tersangka TR dan FJ di kawasan Cimanggis, Depok."
"Polisi Tangkap Pelaku Arisan Bodong Skema Ponzi, 85 Orang Jadi Korban",intelijen,sedang,JAKARTA,"19/1/2025, 08.02.54","Jakarta - Direktorat Reserse Siber Polda Metro Jaya berhasil membongkar kasus arisan bodong berkedok investasi dan pinjam dana. Polisi berhasil menangkap satu orang tersangka berinisial SFM (21).
Kabid Humas Polda Metro Jaya Kombes Ade Ary Syam menyebut SFM berperan sebagai admin grup WhatsApp arisan bernama 'Gu Arisan Bybiyu'. Dalam grup itu pelaku membuat skema promosi investasi dengan istilah dana pinjaman (dapin) dengan sistem slot.

""Kalau investasi Rp 1 juta dalam waktu 10 hari jadi Rp 1,4 juta. Investasi Rp 2 juta dalam waktu 10 hari jadi Rp 2,8 juta. (Investasi) Rp 3 juta jadi Rp 4,2 juta. (Investasi) Rp 4 juta jadi Rp 5,6 juta. (Investasi) Rp 5 juta menjadi Rp 7 juta,"" kata Ade Ary dalam jumpa pers di Mapolda Metro Jaya, Jakarta Selatan, Sabtu (18/1/2024).

""(Pelaku) bertindak selaku pengelola dan menawarkan produk investasi melalui WhatsApp, kemudian menjanjikan keuntungan kepada para investor dan juga peminjam dana,"" lanjut dia.

Dengan beberapa promosi yang cukup masif, lanjut Ade Ary, beberapa orang tertarik dan bertanya lalu ikut berinvestasi. Pada investasi pertama, korban diberi keuntungan sesuai yang dijanjikan. Namun tidak pada transaksi berikutnya.

keuntungan, skema ponzi seperti itu. Dapat keuntungannya bukan dari bisnis yang dijalankan, tetapi dari uang member berikutnya, itu diputer lagi. Jadi member terakhir tidak akan pernah dapat keuntungan,"" jelas Ade Ary.

Dia menyebut ada 425 member yang tergabung dalam grup WhatsApp yang dibuat pelaku. Sebanyak 85 di antaranya menjadi korban dan menerima kerugian.

Dari setiap investor, lanjut Ade Ary, pelaku rata-rata meraup keuntungan mulai dari Rp 50 hingga Rp 2 juta. Uang tersebut digunakan pelaku untuk keperluan pribadinya.

""Tersangka menggunakan dana investor yang masuk untuk keperluan pribadi dan kegiatan investasi pengumpulan dana dari masyarakat ini tidak memiliki izin dari Bappeti (Badan Pengawas Perdagangan Berjangka Komoditi) dan OJK (Otoritas Jasa Keuangan),"" Ucapnya.

Kendati begitu polisi belum dapat merinci jumlah kerugian maupun transaksi keuangan dalam kasus arisan bodong itu. Namun dikatakan, pelaku membeli mobil hingga membuka usaha binatu (laundry) dari hasil penipuan yang dijalankannya sejak September 2024.

""Untuk nilainya sampai sekarang kami mohon waktu masih dalam proses audit pendalaman. Kami membutuhkan banyak data yang dikorelasikan dengan instansi terkait,"" pungkasnya.

Atas perbuatannya, pelaku dijerat dengan pasal berlapis, yakni dengan Pasal 45 A ayat (1) juncto Pasal 28 ayat (1) Undang-Undang Nomor 11 Tahun 2008 sebagaimana diubah terakhir dengan Undang-Undang Nomor 1 Tahun 2024 tentang Perubahan Kedua Atas Undang-Undang Nomor 11 Tahun 2008 tentang Informasi Dan Transaksi Elektronik, dipidana dengan pidana penjara paling lama 6 Tahun dan/atau denda Rp 1.000.000.000.

Kemudian Pasal 378, KUHP, dipidana dengan pidana penjara paling lama 4 tahun dan Pasal 3 Undang-Undang Nomor 8 Tahun 2010 tentang Pencegahan dan Pemberantasan Tindak Pidana Pencucian Uang, dengan pidana penjara paling lama 20 tahun dan denda paling banyak Rp 10.000.000.000,00."
Polisi Bongkar Pabrik Narkoba Bibit Tembakau Sintetis Di Depok,intelijen,sedang,DEPOK,"19/1/2025, 07.59.47","Jakarta - Polisi membongkar pabrik narkoba jenis tembakau sintetis atau sinte di Depok Jawa Barat (Jabar). Empat orang diamankan dan diduga terlibat dalam pabrik pembuatan bibit tembakau sinte tersebut.
Dalam video yang diterima detikcom, polisi menggeledah sebuah rumah yang menjadi pabrik bibit sinte. Salah seorang pelaku diminta untuk menjelaskan soal barang bukti yang ditemukan polisi.

Polisi menemukan sebuah bungkusan besar aluminium. Pelaku menyebut bahwa isi bungkusan tersebut adalah bibit sinte.

Kapolsek Metro Tanah Abang, AKBP Aditya S.P. Sembiring, mengatakan empat orang yang diamankan pada Sabtu (18/1/2025), adalah Laki-laki berinisial TR (27), dan FJ (23), serta perempuan berinisial DY (26), dan MS (30). Lokasi pabrik narkoba berada di Jalan Majelis Kalimulya Depok RT.02 RW.03 Kelurahan Kali Mulya, Kecamatan Cilodong, Depok.

Awalnya anggota Subnit 5 Reskrim Polsektro Tanah Abang mendapat informasi penyalahgunaan tembakau sinte. Polisi pun mengamankan tersangka TR dan FJ di kawasan Cimanggis, Depok.

""Terhadap kedua orang tersebut dilakukan pengembangan dan dari hasil pengembangan diketahui bahwa barang tersebut diperoleh dari seorang atasnama DY. DY berhasil diamankan di Jalan Majelis Kalimulya Depok RT 02 RW 03, Kelurahan Kali Mulya, Kecamatan Cilodong, Depok, Jawa Barat,"" kata Aditya, dalam keterangannya, Sabtu (18/1/2025).

Polisi pun menggeledah TKP dan menemukan bibit tembakau sintetis. Bibit sinte itu merupakan milik dari tersangka MS.

""Dari hasil pengamanan dan penggeledahan terhadap DY diketahui bahwa barang-barang pembuat narkotika bibit sintetis yang berada di kontrakannya adalah milik MS,"" katanya.

""Selanjutnya, tim berhasil mengamankan MS yang sebelumnya mencoba melarikan diri di kontrakannya yang berada di Gang Hentong, Pondok Rajeg, Kec Cibinong, Bogor dengan barang bukti satu paket sinte 15 gram. Tersangka MS selanjutnya dibawa ke TKP DY yang merupakan tempat produksi,"" katanya.

Aditya menyampaikan narkoba bibit sintetis itu diproduksi oleh MS dan dijual kepada orang lain untuk dijadikan tembakau sintetis.

""Modus, pembuat dan pengedar narkotika jenis bibit sintetis yang akan dijadikan tembakau sintetis dengan modus pabrik rumahan atau home industry,"" katanya.

Di TKP pabrik bibit sinte, polisi mengamankan dua paket tembakau sintetis siap edar, lima kilogram bahan baku sinte, hingga dua galon limbah cairan sintetis yang masih bisa digunakan."
"Fakta Sidang Korupsi Izin Tambang Batu Bara Rp495 M, Seret Nama Bupati hingga Misteri SK Dua Titik Koordinat",kejadian,sedang,"LAHAT,SUMSEL","18/1/2025, 16.40.44",https://sumeks.disway.id/read/740271/fakta-sidang-korupsi-izin-tambang-batu-bara-rp495-m-seret-nama-bupati-hingga-misteri-sk-dua-titik-koordinat
Keluarga Cerita Kasir Karaoke Korban di Glodok Plaza Tak Ikut Selamatkan Diri,intelijen,sedang,JAKARTA,"17/1/2025, 23.40.04","Ade Aryati (29), kasir tempat karaoke di Glodok Plaza, hingga kini masih berstatus hilang pasca-kebakaran hebat yang melanda tempat kerjanya. Keluarga mendapatkan cerita soal Ade yang tak langsung menyelamatkan diri saat karyawan lain turun melalui tangga darurat gedung.
""Temannya ngomong yang dua (karyawan) itu ke bawah dia, turun lewat tangga darurat. Anak saya nggak ikut-ikut turun,"" kata Eko (61) saat ditemui wartawan di Glodok Plaza, Jumat (17/1/2025).

Ade Aryati merupakan kasir di lantai 8. Eko mengatakan rekan kerja anaknya mendatangi rumahnya kemarin (16/1) pagi untuk menanyakan Ade sudah pulang atau belum."
Isi Pergub Terbaru Pemprov Jakarta terkait Aturan Izin Poligami ASN  ,intelijen,sedang,JAKARTA,"17/1/2025, 23.34.58","Pj Gubernur Jakarta Teguh Setyabudi mengeluarkan pergub baru terkait tata cara pemberian izin perkawinan dan perceraian bagi ASN. Di pergub itu, ada pasal yang menjabarkan syarat bagi ASN yang mau beristri lebih dari satu atau poligami.
Aturan itu termaktub dalam Pergub Nomor 2 Tahun 2025 tentang tata cara pemberian izin perkawinan dan perceraian. Pergub ditetapkan Teguh Setyabudi pada 6 Januari 2025.

Terkait perizinan poligami bagi ASN ini tertulis pada pasal 4. Aturan itu menjelaskan ASN yang mau poligami harus mendapat izin dari atasan. Jika tanpa izin maka ASN bisa dikenakan sanksi berat. Berikut isinya:

Berikut ini isi pasal 4:

1. Pegawai ASN pria yang akan beristri lebih dari seorang, wajib memperoleh izin dari Pejabat yang Berwenang sebelum melangsungkan Perkawinan.
2. Pegawai ASN yang tidak melakukan kewajiban memperoleh izin dari Pejabat yang Berwenang sebelum melangsungkan Perkawinan sebagaimana dimaksud pada ayat (1) dijatuhi salah satu jenis hukuman disiplin berat sesuai dengan ketentuan peraturan
perundang-undangan.
3. Dalam hal ditemukan alasan yang meringankan atau memberatkan bagi Pegawai ASN sebagaimana dimaksud pada ayat (2), hukuman disiplin dijatuhkan berdasarkan hasil pemeriksaan dengan mempertimbangkan dampak pelanggaran.
4. Pejabat yang Berwenang sebagaimana dimaksud pada ayat (1) tercantum dalam Lampiran II yang merupakan bagian tidak terpisahkan dari Peraturan Gubernur ini."
"Sidang Lanjutan Gugatan Pilkada di Palembang, Ogan Ilir dan Pagar Alam Bakal Digelar di MK",intelijen,sedang,"Palembang, Sumsel","17/1/2025, 15.09.26",https://sumsel.tribunnews.com/2025/01/16/besok-sidang-lanjutan-gugatan-pilkada-di-palembang-ogan-ilir-dan-pagar-alam-bakal-digelar-di-mk.
"Hasil Sidang Pilkada 2024 Sulawesi Tenggara di MK: Kendari, Wakatobi, Konsel, Konkep, Buton, Kolut",intelijen,sedang,KOTA KENDARI,"17/1/2025, 02.54.55","Jumlah Perkara: Terdapat 14 perkara sengketa Pilkada 2024 yang sementara bergulir di MK, mencakup 11 kabupaten/kota dan satu untuk Pilgub Sultra.



Kronologi Sidang: Sidang pemeriksaan pendahuluan dilakukan pada pertengahan Januari 2025, dengan tahap lanjutan meliputi penyampaian jawaban, keterangan pihak terkait, dan pemeriksaan persidangan hingga Februari 2025.



Pelanggaran yang Diduga: Beberapa pelanggaran yang diajukan dalam perselisihan, antara lain penyalahgunaan wewenang oleh petahana, pemberian bantuan sosial, dan pengangkatan relawan menggunakan APBD.



Contoh Kasus Wakatobi: Calon bupati petahana diduga melakukan pembagian sembako, bantuan sosial, serta pengangkatan relawan dengan honor dari APBD selama masa kampanye.



Regulasi yang Dilanggar: Dugaan pelanggaran mengacu pada Pasal 71 ayat (3) UU 1/2015 yang melarang petahana menggunakan kewenangan untuk menguntungkan diri dalam waktu enam bulan sebelum pemilu."
"Kantin SMPN 188 Jakarta Timur Kebakaran, Diduga Dipicu Korsleting Listrik",intelijen,sedang,JAKARTA TIMUR,"16/1/2025, 22.18.19","Jakarta - Kebakaran terjadi di Sekolah Menengah Pertama Negeri (SMPN) 188 di Jakarta Timur (Jaktim). Kebakaran tepatnya terjadi pada area kantin sekolah.
""Objek terbakar kantin SMP 188,"" kata Kasiops Sudin Penanggulangan Kebakaran dan Penyelamatan (Gulkarmat) Jaktim, Abdul Wahid, Kamis (16/1/2025).

Kebakaran itu dilaporkan terjadi pada pagi tadi pukul 07.12 WIB. Lokasi kebakaran berada di Jalan SMP 188 RT 02 RW 04, Kelurahan Rambutan, Kecamatan Ciracas, Jaktim.

Sebanyak 8 unit mobil pemadam kebakaran (damkar) beserta 40 personel dikerahkan untuk memadamkan api. Proses pemadaman dimulai pukul 07.22 WIB.

Api dapat dipadamkan pukul 07.42 WIB dan operasi dinyatakan selesai. Kebakaran diduga disebabkan masalah kelistrikan.

Luas area yang terbakar sekitar 5 meter persegi. Kebakaran itu ditaksir menimbulkan kerugian sekitar Rp 25 juta.

""Kronologi, api tiba-tiba muncul dari atas plafon kantin sekolah,"" katanya.

Tak ada korban dalam insiden kebakaran ini. Sebanyak 350 jiwa terdiri atas guru, siswa, dan manajemen sekolah dinyatakan selamat."
Lalin Di Tol Arah Jakarta Macet Di Sejumlah Titik Pagi Ini,intelijen,sedang,JAKARTA,"16/1/2025, 22.15.02","Jakarta - Lalu lintas di sejumlah ruas tol dari arah Jagorawi, Jakarta-Cikampek (Japek), Jakarta-Tangerang (Janger) pagi ini mengalami kepadatan. Kepadatan tersebut akibat padatnya volume kendaraan.
""Tol Jagorawi Cipayung KM 09 - Dukuh KM 07 padat, kepadatan volume lalin. TMII KM 06 - Kalicipinang KM 03 padat, kepadatan volume lalin. Cililitan - Cawang padat, kepadatan volume lalin,"" demikian dikutip dari X Jasa Marga, @PTJasamarga, Kamis (16//1/2025).

Petugas telah memberlakukan contraflow di Cimanggis KM 17+200 - Cipayung KM 08+800. Contraflow diberlakukan di lajur kanan.

Lebih lanjut lalu lintas dari arah Tol Japek juga mengalami kepadatan, kepadatan terjadi di Halim arah Cawang pagi ini. Hal itu akibat tingginya volume kendaraan yang melintas.

Tol Janger (Jakarta Tangerang) juga mengalami kepadatan di sejumlah titik pagi ini. Salah satunya di Kunciran Km 16 akibat padatnya volume lalin keluar rest area.

""Kunciran KM 16 - KM 14 arah Tomang padat, kepadatan volume lalin Masuk Keluar Rest Area. Kunciran KM 13 - Karang Tengah 09 arah Tomang padat, kepadatan volume lalin,"" kata Jasa Marga.

Kepadatan juga terjadi di Tol Kembangan KM 08 - Meruya KM 05. Lalin juga mengalami kepadatan di Tomang KM 01 dari arah Kebon Jeruk pagi ini."
Situasi kamtibmas dan rencana kegiatan masyarakat Pada hari  Kamis  tanggal 16 januari 2025 di wilayah Sumsel.,intelijen,sedang,,"16/1/2025, 16.27.51",Situasi kamtibmas dan rencana kegiatan masyarakat Pada hari  Kamis  tanggal 16 januari 2025 di wilayah Sumsel.
Pemerintah Kabupaten Solok Selatan meresmikan pembangunan jalan Talao-Mercu di Kecamatan Sangir Balai Janggo.,intelijen,sedang,PASMAN BARAT,"16/1/2025, 15.31.01","Pada hari Selasa tanggal 14 Januari 2025, Pemerintah Kabupaten Pasaman Barat bersama Tim Pengendalian Inflasi Daerah (TPID) mengikuti Rapat Koordinasi (Rakor) Pengendalian Inflasi secara virtual bersama Kementerian Dalam Negeri RI. Rapat berlangsung di Ruang Balkon Kantor Bupati dan dibuka oleh PIt. Sekretaris Jenderal Kemendagri, Komjen Pol. Drs. Tomsi Tohir, M.Si. Deputi Bidang Statistik Distribusi dan Jasa, Dr. Pudji Ismartini, M.App.Stat. menyampaikan laporan terkait Tinjauan Inflasi dan Indeks Perkembangan Harga (IPH) Minggu ke-2 Januari 2025. la menjelaskan, pada periode tersebut terdapat 36 provinsi yang mengalami kenaikan IPH, sementara dua provinsi lainnya mengalami penurunan dibandingkan bulan sebelumnya. Komoditas utama yang berkontribusi terhadap kenaikan IPH di sebagian besar provinsi adalah cabai rawit, cabai merah, dan daging ayam ras. Secara nasional, jumlah kabupaten/kota yang mencatatkan kenaikan IPH pada Minggu ke-2 Januari 2025 lebih banyak dibandingkan daerah yang mengalami penurunan. Rata-rata harga cabai merah secara nasional berada dalam rentang Harga Acuan Penjualan (HAP), namun mengalami kenaikan sebesar 34,55% dibandingkan Desember 2024. Sementara itu, harga cabai rawit yang berada di atas HAP naik hingga 42,00%. Harga telur ayam ras juga meningkat sebesar 3,41%, sedangkan harga Minyakita berada di atas Harga Eceran Tertinggi (HET) dengan kenaikan 0,85. Staf Ahli Bidang Manajemen dan Tata Kelola Kementerian Perdagangan, Iqbal Shoffan Shofwan, M.Si., memaparkan perkembangan harga rata-rata minyak goreng nasional. Pada Minggu pertama Januari 2025, harga minyak premium naik 1,67% menjadi Rp22.010/liter, minyak curah naik 1,87% menjadi Rp17.720/ liter, dan Minyakita naik 1,41% menjadi Rp17.342/liter. Kementerian Perdagangan menghimbau dinas terkait agar menyosialisasikan HET Minyakita sebesar Rp15.700/liter. Pedagang juga diminta memasang spanduk informasi harga HET di toko mereka. Pelanggaran HET ini akan dikenakan sanksi pidana dan denda."
"Sidang Pemeriksaan Pendahuluan Perkara PHPU Pilkada 2024 MK, KPU buton di anggap tidak netral",intelijen,sedang,Kota Bau-bau,"16/1/2025, 03.22.05","Perkara di Mahkamah Konstitusi: Sidang perkara dengan nomor 27/PHPU.BUP-XXIII/2025 diajukan pada 5 Desember 2024 oleh pasangan calon Nur Ari Raharja dan La Ode Yasin.



Cacat Formil: Kuasa hukum pemohon menyebut KPU Kota Baubau tidak melaksanakan kewajiban mengumumkan pergantian calon wakil wali kota independen.



Rekomendasi Bawaslu Tidak Dijalankan: KPU Kota Baubau dituduh mengabaikan rekomendasi Bawaslu terkait verifikasi faktual terhadap dukungan KTP masyarakat.



Petitium: Pemohon meminta penundaan pelantikan pasangan calon terpilih hingga adanya putusan final dari Mahkamah Konstitusi."
96 Kepala Desa di Konawe Selatan Sulawesi Tenggara Terpilih Tahun 2023 Resmi Dilantik Bupati Konsel,intelijen,sedang,Kabupaten Konawe Selatan,"16/1/2025, 02.58.29","Jumlah dan Lokasi Pelantikan: Sebanyak 96 kepala desa terpilih di Kabupaten Konawe Selatan dilantik secara serentak.



Dasar Hukum Pelantikan: Pelantikan ini didasarkan pada Surat Keputusan Bupati Konawe Selatan Nomor 400.10/28 Tahun 2025.



Proses Tertunda: Pelantikan sempat tertunda karena adanya undang-undang yang memperpanjang masa jabatan kepala desa.



Harapan Pemerintah: Bupati Konsel menekankan pentingnya kerja sama antara pemerintah desa dan pemerintah kabupaten untuk memastikan pembangunan berjalan maksimal."
Situasi kamtibmas dan rencana kegiatan masyarakat Pada hari  Senin  tanggal 23 Oktober 2023 di wilayah,intelijen,sedang,,"15/1/2025, 16.05.56",Situasi kamtibmas dan rencana kegiatan masyarakat Pada hari  Senin  tanggal 23 Oktober 2023 di wilayah
"Kepala Bocah Terjepit Terali di Jaksel, Damkar Evakuasi",intelijen,sedang,JAKARTA SELATAN,"15/1/2025, 13.17.44","Petugas Pemadam Kebakaran (Damkar) mengevakuasi anak perempuan yang kepalanya terjebak terali. Kepala anak tersebut terjepit saat sedang bermain.
Berdasarkan unggahan akun instagram Damkar DKI Jakarta, @humasjakfire, lokasi kejadian beralamat di Jalan Tebet, Jakarta Selatan. Dalam video yang disertakan dalam unggahan, tampak dua petugas damkar tengah berupaya memotong besi terali secara perlahan.

""Petugas Penyelamat Sektor Tebet mengevakuasi seorang anak perempuan yang kepalanya terjepit di terali jendela,"" demikian keterangan dalam unggahan @humasjakfire, dilihat Rabu (15/1/2025)."
